
0;-1.0
0,001;-1.0
0,001;-1.9
0,001;-1.9
0,001;-2.7099998
0,001;-2.71
0,002;-3.436399
0,002;-3.439
0,002;-4.0937147
0,002;-4.0951
0,002;-4.6847496
0,003;-4.68559
0,003;-5.2152524
0,003;-5.2170305
0,003;-5.690884
0,003;-5.6953273
0,003;-6.1231074
0,004;-6.1257944
0,004;-6.511621
0,004;-6.5132146
0,004;-6.85847
0,004;-6.861893
0,005;-7.144053
0,005;-7.1757035
0,005;-7.3459225
0,005;-7.458133
0,005;-7.603175
0,006;-7.71232
0,006;-7.8158484
0,007;-7.8581285
0,007;-7.907502
0,007;-7.9410877
0,008;-8.146978
0,008;-8.154299
0,008;-8.33228
0,009;-8.376522
0,009;-8.392219
0,01;-8.455131
0,01;-8.499052
0,01;-8.649147
0,011;-8.758766
0,011;-8.784232
0,012;-8.802219
0,012;-8.849532
0,013;-8.905809
0,013;-8.972856
0,013;-9.015228
0,014;-9.083657
0,014;-9.100461
0,015;-9.113706
0,015;-9.137198
0,016;-9.1679735
0,016;-9.202334
0,017;-9.26641
0,018;-9.267979
0,018;-9.269391
0,019;-9.270661
0,02;-9.271805
0,02;-9.272834
0,021;-9.273761
0,021;-9.274595
0,022;-9.275346
0,023;-9.27602
0,024;-9.276629
0,024;-9.277176
0,025;-9.277668
0,025;-9.278111
0,026;-9.27851
0,027;-9.27887
0,027;-9.279193
0,028;-9.279483
0,029;-9.279745
0,029;-9.279981
0,03;-9.280192
0,031;-9.280383
0,031;-9.280556
0,032;-9.28071
0,033;-9.2808485
0,033;-9.2809725
0,034;-9.281087
0,035;-9.281187
0,035;-9.28128
0,036;-9.281361
0,037;-9.281434
0,037;-9.281502
0,038;-9.281561
0,039;-9.281615
0,04;-9.281663
0,04;-9.281707
0,041;-9.281746
0,042;-9.281782
0,042;-9.281814
0,043;-9.281841
0,044;-9.281868
0,044;-9.281892
0,045;-9.281912
0,046;-9.281931
0,046;-9.281948
0,047;-9.281962
0,048;-9.281977
0,049;-9.28199
0,049;-9.282001
0,05;-9.282011
0,051;-9.28202
0,051;-9.282028
0,053;-9.282035
0,053;-9.282041
0,054;-9.282046
0,055;-9.282052
0,055;-9.282057
0,056;-9.282061
0,057;-9.282066
0,057;-9.282068
0,058;-9.282072
0,059;-9.282075
0,059;-9.282078
0,06;-9.28208
0,061;-9.282082
0,062;-9.2820835
0,062;-9.282085
0,063;-9.282087
0,064;-9.282087
0,064;-9.282089
0,064;-9.28209
0,065;-9.282091
0,065;-9.282092
0,066;-9.282093
0,066;-9.282094
0,066;-9.282094
0,067;-9.282094
0,068;-9.282095
0,068;-9.282095
0,069;-9.282097
0,07;-9.282097
0,07;-9.282097
0,071;-9.282097
0,071;-9.282097
0,071;-9.282098
0,072;-9.282098
0,072;-9.282098
0,073;-9.282098
0,073;-9.282098
0,074;-9.282098
0,075;-9.282098
0,076;-9.282098
0,076;-9.282098
0,077;-9.282098
0,078;-9.282098
0,078;-9.2821
0,079;-9.2821
0,08;-9.2821
0,08;-9.2821
0,081;-9.2821
0,081;-9.2821
0,081;-9.2821
